Name,Province,Climate_ID,Station_ID,Latitude,Longitude,Elevation
ACTIVE_PASS,BRITISH_COLUMBIA,1010066,14,48.87,-123.28,4
ALBERT_HEAD,BRITISH_COLUMBIA,1010235,15,48.4,-123.48,17
BAMBERTON_OCEAN_CEMENT,BRITISH_COLUMBIA,1010595,16,48.58,-123.52,85.3
BEAR_CREEK,BRITISH_COLUMBIA,1010720,17,48.5,-124,350.5
BEAVER_LAKE,BRITISH_COLUMBIA,1010774,18,48.5,-123.35,61
BECHER_BAY,BRITISH_COLUMBIA,1010780,19,48.33,-123.63,12.2
BRENTWOOD_BAY_2,BRITISH_COLUMBIA,1010960,20,48.6,-123.47,38
BRENTWOOD_CLARKE_ROAD,BRITISH_COLUMBIA,1010961,21,48.57,-123.45,30.5
BRENTWOOD_W_SAANICH_RD,BRITISH_COLUMBIA,1010965,22,48.57,-123.43,91.4
CENTRAL_SAANICH_VEYANESS,BRITISH_COLUMBIA,1011467,25,48.58,-123.42,53.3
CENTRAL_SAANICH_ISL_VIEW,BRITISH_COLUMBIA,10114F6,24,48.57,-123.39,38
CENTRAL_SAANICH_TANNER,BRITISH_COLUMBIA,10114FF,23,48.55,-123.4,88.4
CHEMAINUS,BRITISH_COLUMBIA,1011500,26,48.94,-123.74,75
COBBLE_HILL,BRITISH_COLUMBIA,1011743,27,48.68,-123.6,99
COBBLE_HILL_DELOUME_ROAD,BRITISH_COLUMBIA,1011745,28,48.65,-123.57,61
COLE_BAY,BRITISH_COLUMBIA,1011775,29,48.65,-123.4,36.6
COLWOOD_HATLEY_DR,BRITISH_COLUMBIA,1011810,30,48.42,-123.48,75.6
COPPER_CANYON,BRITISH_COLUMBIA,1011860,31,48.83,-123.83,176.8
CORDOVA_BAY,BRITISH_COLUMBIA,1011920,32,48.53,-123.37,37.2
CORDOVA_BAY_SOUTH,BRITISH_COLUMBIA,1011922,33,48.52,-123.37,26
COWICHAN,BRITISH_COLUMBIA,1012008,34,48.42,-123.7,51.8
COWICHAN_BAY_CHERRY_POINT,BRITISH_COLUMBIA,1012010,35,48.71,-123.56,1
COWICHAN_BAY_SOUTHEAST,BRITISH_COLUMBIA,1012018,36,48.73,-123.6,94
COWICHAN_LAKE_FORESTRY,BRITISH_COLUMBIA,1012040,37,48.82,-124.13,176.8
COWICHAN_LAKE_HATCHERY,BRITISH_COLUMBIA,1012046,38,48.83,-124.12,152.4
COWICHAN_LAKE_NITINAT,BRITISH_COLUMBIA,1012052,39,48.93,-124.48,189
LAKE_COWICHAN,BRITISH_COLUMBIA,1012055,40,48.83,-124.05,171
CROFTON,BRITISH_COLUMBIA,1012190,41,48.82,-123.67,30.5
DISCOVERY_ISLAND,BRITISH_COLUMBIA,1012475,27226,48.42,-123.23,18.93
DUNCAN,BRITISH_COLUMBIA,1012550,42,48.78,-123.72,8.5
DUNCAN_BCHPA_VIT,BRITISH_COLUMBIA,1012562,43,48.83,-123.72,36
DUNCAN_EAST,BRITISH_COLUMBIA,1012566,44,48.78,-123.68,7.6
DUNCAN_FORESTRY,BRITISH_COLUMBIA,1012570,45,48.77,-123.68,6
DUNCAN_KELVIN_CREEK,BRITISH_COLUMBIA,1012573,46,48.73,-123.73,103
EAST_SOOKE_ANDERSON_COVE,BRITISH_COLUMBIA,1012628,47,48.35,-123.63,36.6
ELK_LAKE,BRITISH_COLUMBIA,1012655,48,48.52,-123.38,114.3
ELK_LAKE_2,BRITISH_COLUMBIA,1012656,49,48.53,-123.38,53
ESQUIMALT,BRITISH_COLUMBIA,1012700,50,48.43,-123.42,13.7
ESQUIMALT_LAGOON,BRITISH_COLUMBIA,1012707,51,48.42,-123.47,15.2
ESQUIMALT_HARBOUR,BRITISH_COLUMBIA,1012710,52,48.43,-123.44,3
FINLAYSON_ARM_RD,BRITISH_COLUMBIA,1012883,53,48.5,-123.53,167.6
GALIANO_ISLAND_GCC,BRITISH_COLUMBIA,1013045,56,48.9,-123.35,15.2
GANGES_MANSELL_RD,BRITISH_COLUMBIA,1013051,57,48.87,-123.5,45
GALIANO_ISL_BURRILL_PT,BRITISH_COLUMBIA,10130DE,54,48.87,-123.32,1.5
GALIANO_NORTH,BRITISH_COLUMBIA,10130MN,55,48.99,-123.57,6
GOLDSTREAM_LAKE,BRITISH_COLUMBIA,1013240,58,48.45,-123.55,458.7
GOLDSTREAM_MEADOWS,BRITISH_COLUMBIA,1013241,59,48.62,-123.53,64
HONEYMOON_BAY_NORTHWEST,BRITISH_COLUMBIA,1013519,60,48.83,-124.19,170
JAMES_ISLAND,BRITISH_COLUMBIA,1013720,61,48.6,-123.35,53.6
KELP_REEFS,BRITISH_COLUMBIA,1013998,10853,48.55,-123.24,
KUPER_ISLAND,BRITISH_COLUMBIA,1014430,62,48.97,-123.63,
LAKE_COWICHAN,BRITISH_COLUMBIA,1014493,63,48.82,-124.05,180
LANGFORD_LAKE,BRITISH_COLUMBIA,1014530,64,48.43,-123.53,75
MALAHAT,BRITISH_COLUMBIA,1014818,10730,48.58,-123.58,275
MALAHAT,BRITISH_COLUMBIA,1014820,65,48.57,-123.53,365.8
MAYNE_ISLAND,BRITISH_COLUMBIA,1014930,66,48.85,-123.33,9.1
MAYNE_ISLAND,BRITISH_COLUMBIA,1014931,67,48.84,-123.32,28
METCHOSIN,BRITISH_COLUMBIA,1015105,68,48.37,-123.56,164
METCHOSIN_HAPPY_VALLEY,BRITISH_COLUMBIA,1015107,69,48.42,-123.53,76
METCHOSIN_MOUNTAIN,BRITISH_COLUMBIA,1015109,70,48.4,-123.53,91.4
METCHOSIN_PARRY_BAY,BRITISH_COLUMBIA,1015111,6809,48.38,-123.5,3
MILL_BAY_KILMALU,BRITISH_COLUMBIA,1015134,71,48.65,-123.55,45.7
MILL_BAY_1_SOUTHWEST,BRITISH_COLUMBIA,1015136,72,48.64,-123.56,100
MILLSTREAM,BRITISH_COLUMBIA,1015150,73,48.48,-123.55,213.4
MILNES_LANDING,BRITISH_COLUMBIA,1015160,74,48.35,-123.73,38.1
MUIR_CREEK_1W,BRITISH_COLUMBIA,1015242,75,48.38,-123.88,30
NORTH_COWICHAN,BRITISH_COLUMBIA,1015628,76,48.82,-123.72,45.7
NORTH_COWICHAN,BRITISH_COLUMBIA,1015630,46728,48.82,-123.72,44.8
NORTH_PENDER_ISLAND,BRITISH_COLUMBIA,1015638,77,48.76,-123.29,98
PENDER_ISLAND,BRITISH_COLUMBIA,1016120,79,48.77,-123.3,26.2
PIERS_ISLAND,BRITISH_COLUMBIA,1016169,80,48.7,-123.42,17.1
POINT-NO-POINT,BRITISH_COLUMBIA,1016203,81,48.41,-123.99,25
PORT_RENFREW,BRITISH_COLUMBIA,1016335,82,48.59,-124.33,10
RACE_ROCKS,BRITISH_COLUMBIA,1016640,10943,48.3,-123.53,7.4
RACE_ROCKS_LIGHTSTATION,BRITISH_COLUMBIA,1016641,83,48.3,-123.53,4.9
RIVER_JORDAN,BRITISH_COLUMBIA,1016780,84,48.42,-124.05,3
SAANICHTON_CDA,BRITISH_COLUMBIA,1016940,87,48.62,-123.42,61
SAANICH_CAMOSUN_COLLEGE,BRITISH_COLUMBIA,1016941,88,48.5,-123.42,38.1
SAANICH_DENSMORE,BRITISH_COLUMBIA,1016942,89,48.5,-123.4,59
SAANICHTON_CFIA,BRITISH_COLUMBIA,1016943,54641,48.62,-123.42,61
SALTAIR,BRITISH_COLUMBIA,1016980,90,48.97,-123.77,15.2
SALTSPRING_ISLAND,BRITISH_COLUMBIA,1016990,91,48.85,-123.5,73.2
SALTSPRING_IS_CUSHEON_LK,BRITISH_COLUMBIA,1016992,92,48.82,-123.48,107.9
SALTSPRING_ST_MARY'S_L,BRITISH_COLUMBIA,1016995,93,48.89,-123.55,45.7
SAANICH_DOM_ASTRO_OBS,BRITISH_COLUMBIA,10169DK,85,48.52,-123.42,222.5
SAANICH_OLDFIELD,BRITISH_COLUMBIA,10169MK,86,48.55,-123.42,69.8
SAANICHTON_MT_NEWTON,BRITISH_COLUMBIA,1016RM0,78,48.6,-123.43,42.7
SALTSPRING_VESUVIUS,BRITISH_COLUMBIA,1017000,94,48.88,-123.57,7.6
SATURNA_CAPMON,BRITISH_COLUMBIA,1017098,95,48.78,-123.13,178
SATURNA_CAPMON_CS,BRITISH_COLUMBIA,1017099,6810,48.78,-123.13,178
SATURNA_ISLAND_CS,BRITISH_COLUMBIA,1017101,96,48.78,-123.04,24.4
SHAWNIGAN_LAKE,BRITISH_COLUMBIA,1017230,97,48.65,-123.63,159
SHAWNIGAN_LAKE_NORTH,BRITISH_COLUMBIA,1017233,98,48.65,-123.63,149.4
SHERINGHAM_POINT,BRITISH_COLUMBIA,1017254,6811,48.38,-123.92,6.9
SIDNEY_DEEP_COVE,BRITISH_COLUMBIA,1017329,99,48.68,-123.4,18.3
SOOKE,BRITISH_COLUMBIA,1017556,100,48.37,-123.73,27.4
SOOKE_GLINZ_LAKE,BRITISH_COLUMBIA,1017559,101,48.42,-123.63,256
SOOKE_LAKE,BRITISH_COLUMBIA,1017560,102,48.52,-123.7,172.8
SOOKE_LAKE_NORTH,BRITISH_COLUMBIA,1017563,103,48.58,-123.64,231
SOOKE_OTTER_POINT,BRITISH_COLUMBIA,1017570,104,48.37,-123.82,39.6
SOOKE_SASEENOS,BRITISH_COLUMBIA,1017575,105,48.38,-123.67,27.4
SOUTH_PENDER_ISLAND_2,BRITISH_COLUMBIA,1017610,106,48.75,-123.22,91.1
TRIAL_ISLAND,BRITISH_COLUMBIA,1018238,27290,48.4,-123.3,23
VICTORIA_AMROTH_PLACE,BRITISH_COLUMBIA,1018590,108,48.45,-123.28,18.3
VICTORIA_ARDMORE,BRITISH_COLUMBIA,1018592,109,48.63,-123.47,24.4
VICTORIA_BAY_STREET,BRITISH_COLUMBIA,1018595,110,48.43,-123.37,13.7
VICTORIA_UNIVERSITY_CS,BRITISH_COLUMBIA,1018598,6812,48.46,-123.3,60.1
VICTORIA_CAREY_ROAD,BRITISH_COLUMBIA,1018600,111,48.47,-123.47,19.8
VICTORIA_FRANCIS_PARK,BRITISH_COLUMBIA,1018605,112,48.48,-123.44,55
VICTORIA_GONZALES_HTS,BRITISH_COLUMBIA,1018610,113,48.41,-123.33,69.5
VICTORIA_GONZALES_CS,BRITISH_COLUMBIA,1018611,114,48.41,-123.32,61.04
VICTORIA_GORDON_HEAD,BRITISH_COLUMBIA,1018614,115,48.47,-123.3,42.7
VICTORIA_HARBOUR_A,BRITISH_COLUMBIA,1018615,10944,48.42,-123.39,
VICTORIA_HIGHLAND,BRITISH_COLUMBIA,1018616,116,48.51,-123.51,190.6
VICTORIA_HOLLAND_2,BRITISH_COLUMBIA,1018617,117,48.48,-123.41,15.2
VICTORIA_HIGHLANDS_NORTH,BRITISH_COLUMBIA,1018618,49468,48.54,-123.5,230
VICTORIA_HARBOUR_A,BRITISH_COLUMBIA,1018619,53478,48.42,-123.39,
VICTORIA_INT'L_A,BRITISH_COLUMBIA,1018620,118,48.65,-123.43,19.51
VICTORIA_INTL_A,BRITISH_COLUMBIA,1018621,51337,48.65,-123.43,19.5
VICTORIA_JUBILEE,BRITISH_COLUMBIA,1018629,119,48.43,-123.33,23.5
VICTORIA_HARBOUR_A,BRITISH_COLUMBIA,1018633,53479,48.42,-123.39,
VICTORIA_LANSDOWNE,BRITISH_COLUMBIA,1018640,120,48.43,-123.32,29
VICTORIA_MARINE,BRITISH_COLUMBIA,1018642,121,48.37,-123.75,31.7
VICTORIA_MUSGRAVE_STREET,BRITISH_COLUMBIA,1018644,122,48.43,-123.3,15.2
VICTORIA_NORTH_DAIRY_RD,BRITISH_COLUMBIA,1018648,123,48.45,-123.33,40.8
VICTORIA_NORTHRIDGE,BRITISH_COLUMBIA,1018651,124,48.49,-123.4,37
VICTORIA_ROWLEY_ROAD,BRITISH_COLUMBIA,1018657,125,48.47,-123.3,13.4
VICTORIA_SINCLAIR_ROAD,BRITISH_COLUMBIA,1018658,126,48.47,-123.3,53.3
VICTORIA_TILLICUM,BRITISH_COLUMBIA,1018660,127,48.45,-123.39,22.9
VICTORIA_TUDOR_AVENUE,BRITISH_COLUMBIA,1018666,128,48.45,-123.27,21.6
WILLIAM_HEAD,BRITISH_COLUMBIA,1018935,129,48.34,-123.54,12.2
VICTORIA_U_VIC,BRITISH_COLUMBIA,1018FF6,107,48.47,-123.33,68.4
VICTORIA_HARTLAND_CS,BRITISH_COLUMBIA,1018FJ5,11007,48.53,-123.46,154.1
YOUBOU,BRITISH_COLUMBIA,1019010,130,48.88,-124.22,173.7
YOUBOU_SCHOOL,BRITISH_COLUMBIA,1019014,131,48.88,-124.22,189
CHEMAINUS_BARE_POINT,BRITISH_COLUMBIA,101AE00,2,48.92,-123.7,3
GALIANO_SOUTH,BRITISH_COLUMBIA,101C04E,4,48.87,-123.32,15.2
GALIANO_SOUTH_2,BRITISH_COLUMBIA,101C0ME,3,48.88,-123.35,61
SAANICHTON_MT_NEWTON_2,BRITISH_COLUMBIA,101F940,6807,48.6,-123.45,68
SAANICH_OLDFIELD_NORTH,BRITISH_COLUMBIA,101F942,5,48.55,-123.42,69.5
SATURNA_ISLAND_CAMPBELL_SCIENTIFIC,BRITISH_COLUMBIA,101G100,7997,48.78,-123.05,24.4
VICTORIA_WEST,BRITISH_COLUMBIA,101H6FF,9,48.43,-123.38,15.2
VICTORIA_WILLOWS_PARK,BRITISH_COLUMBIA,101HF66,8,48.43,-123.3,9.1
VICTORIA_PHYLLIS_STREET,BRITISH_COLUMBIA,101HFEE,6,48.46,-123.27,7.6
VICTORIA_PORTAGE_INLET,BRITISH_COLUMBIA,101HFNE,7,48.45,-123.43,6.1
CORDOVA_BAY_CLAREMOUNT,BRITISH_COLUMBIA,101J9K0,6808,48.52,-123.37,80
VICTORIA_PRINCESS_AVE,BRITISH_COLUMBIA,101Q655,13,48.43,-123.35,27
VICTORIA_PROSPECT_LAKE,BRITISH_COLUMBIA,101Q6NN,12,48.52,-123.43,61
VICTORIA_SHELBOURNE,BRITISH_COLUMBIA,101QF57,11,48.47,-123.33,49
VICTORIA_SHORT_STREET,BRITISH_COLUMBIA,101QFEG,10,48.45,-123.37,21.3
ALERT_BAY,BRITISH_COLUMBIA,1020270,137,50.58,-126.93,59.4
BALLENAS_ISLAND,BRITISH_COLUMBIA,1020590,138,49.35,-124.16,14.51
BLACK_CREEK,BRITISH_COLUMBIA,1020880,139,49.85,-125.13,46
BLACK_CREEK_SE,BRITISH_COLUMBIA,1020881,45507,49.8,-125.09,87.8
BLIND_CHANNEL,BRITISH_COLUMBIA,1020885,140,50.42,-125.5,3
BOWSER,BRITISH_COLUMBIA,1020910,141,49.45,-124.67,3
NANAIMO_HARBOUR,BRITISH_COLUMBIA,1021052,26822,49.17,-123.93,5
CAMERON_LAKE,BRITISH_COLUMBIA,1021230,142,49.28,-124.58,193
CAMPBELL_LAKE,BRITISH_COLUMBIA,1021250,143,50.02,-125.4,15.2
CAMPBELL_RIVER,BRITISH_COLUMBIA,1021260,144,50.02,-125.3,79.2
CAMPBELL_RIVER_A,BRITISH_COLUMBIA,1021261,145,49.95,-125.27,108.8
CAMPBELL_RIVER_BCFS,BRITISH_COLUMBIA,1021262,146,50.07,-125.32,128
CAMPBELL_RIVER_BCHPA_GEN,BRITISH_COLUMBIA,1021263,147,50.05,-125.32,30.5
CAMPBELL_R_LAKEVIEW_FC,BRITISH_COLUMBIA,1021264,148,50.2,-125.55,198.1
CAMPBELL_RIVER_STP,BRITISH_COLUMBIA,1021265,149,50.02,-125.23,3
CAMPBELL_RIVER_SURFSIDE,BRITISH_COLUMBIA,1021266,150,49.95,-125.21,9
CAMPBELL_RIVER_A,BRITISH_COLUMBIA,1021267,51317,49.95,-125.27,108.8
CAMPBELL_RIVER_A,BRITISH_COLUMBIA,1021270,52979,49.95,-125.27,108.8
CAPE_LAZO,BRITISH_COLUMBIA,1021320,151,49.7,-124.87,38.1
CAPE_MUDGE,BRITISH_COLUMBIA,1021330,152,50,-125.2,4.6
CAPE_MUDGE_CS,BRITISH_COLUMBIA,1021332,27382,50,-125.2,4
CHATHAM_POINT,BRITISH_COLUMBIA,1021480,153,50.33,-125.45,22.9
CHROME_ISLAND,BRITISH_COLUMBIA,1021500,51678,49.47,-124.68,10
CHROME_ISLAND,BRITISH_COLUMBIA,1021616,27289,49.47,-124.68,11.3
COAL_HARBOUR_RUPERT_IN,BRITISH_COLUMBIA,1021737,154,50.6,-127.5,57.3
COMOX_A,BRITISH_COLUMBIA,1021830,155,49.72,-124.9,25.6
COMOX_PCC,BRITISH_COLUMBIA,1021838,156,49.69,-125.03,11.9
COOMBS,BRITISH_COLUMBIA,1021850,157,49.31,-124.43,98.1
CORTES_ISLAND,BRITISH_COLUMBIA,1021950,158,50.08,-125.03,6.1
CORTES_ISL_SUTIL_POINT,BRITISH_COLUMBIA,1021958,159,50.02,-124.98,15.2
CORTES_ISLAND_TIBER_BAY,BRITISH_COLUMBIA,1021960,160,50.07,-124.95,15
COURTENAY_GRANTHAM,BRITISH_COLUMBIA,1021988,161,49.76,-125,81
COURTENAY_PUNTLEDGE,BRITISH_COLUMBIA,1021989,162,49.69,-125.03,40
COURTENAY_PUNTLEDGE_BCHP,BRITISH_COLUMBIA,1021990,163,49.68,-125.03,24.4
COURTENAY_SANDWICK,BRITISH_COLUMBIA,1021994,164,49.7,-124.97,76
CUMBERLAND,BRITISH_COLUMBIA,1022250,165,49.62,-125.03,159.4
DENMAN_ISLAND,BRITISH_COLUMBIA,1022430,166,49.52,-124.78,13.5
DENMAN_ISLAND_EAST_SHORE,BRITISH_COLUMBIA,1022433,167,49.52,-124.74,13
DENMAN_ISLAND_2,BRITISH_COLUMBIA,1022436,168,49.55,-124.8,92
DUNCAN_BAY,BRITISH_COLUMBIA,1022560,169,50.07,-125.28,11
DUNCAN_GLENORA,BRITISH_COLUMBIA,1022571,26990,48.76,-123.77,84
ENTRANCE_ISLAND,BRITISH_COLUMBIA,1022688,170,49.2,-123.8,3.3
ENTRANCE_ISLAND,BRITISH_COLUMBIA,1022689,29411,49.21,-123.81,7.6
FANNY_ISLAND,BRITISH_COLUMBIA,1022795,29733,50.45,-125.99,5.2
FRENCH_CREEK,BRITISH_COLUMBIA,1023037,171,49.35,-124.37,38.1
GABRIOLA_ISLAND,BRITISH_COLUMBIA,1023042,172,49.15,-123.73,46
HERIOT_BAY_SE,BRITISH_COLUMBIA,1023462,173,50.1,-125.2,17
HILLIERS,BRITISH_COLUMBIA,1023471,174,49.3,-124.5,150
HORNBY_ISLAND,BRITISH_COLUMBIA,1023590,175,49.53,-124.6,6.1
KELSEY_BAY,BRITISH_COLUMBIA,1024005,176,50.38,-125.95,4.9
LADYSMITH,BRITISH_COLUMBIA,1024485,177,48.95,-123.65,24.4
LASQUETI_ISLAND,BRITISH_COLUMBIA,1024590,178,49.5,-124.33,4.6
LAZO,BRITISH_COLUMBIA,1024592,179,49.73,-124.9,3.7
LITTLE_QUALICUM,BRITISH_COLUMBIA,1024637,180,49.35,-124.78,186.5
LITTLE_QUALICUM_HATCHERY,BRITISH_COLUMBIA,1024638,181,49.35,-124.51,30
LITTLE_QUALICUM_R_ESTY,BRITISH_COLUMBIA,1024639,182,49.37,-124.48,1.5
LITTLE_QUALICUM_RIVER_GANSKE_ROAD,BRITISH_COLUMBIA,1024642,183,49.37,-124.5,42
MT_WASHINGTON,BRITISH_COLUMBIA,1025230,46567,49.75,-125.29,1473.5
MT_WASHINGTON_RESORT,BRITISH_COLUMBIA,1025234,185,49.75,-125.29,1197
MT_WASHINGTON_UPPER,BRITISH_COLUMBIA,1025237,186,49.75,-125.29,1450
MUD_BAY,BRITISH_COLUMBIA,1025240,187,49.47,-124.79,4
MYRA_CREEK,BRITISH_COLUMBIA,1025254,188,49.58,-125.61,353.9
NANAIMO,BRITISH_COLUMBIA,1025340,191,49.18,-123.97,70.1
NANAIMO_A,BRITISH_COLUMBIA,1025365,52941,49.05,-123.87,28
NANAIMO_A,BRITISH_COLUMBIA,1025369,51318,49.05,-123.87,28
NANAIMO_A,BRITISH_COLUMBIA,1025370,192,49.05,-123.87,28.04
NANAIMO_WATER_RESERVOIR,BRITISH_COLUMBIA,1025371,193,49.15,-123.97,114.3
NANOOSE_BAY,BRITISH_COLUMBIA,1025375,194,49.28,-124.18,82
NANOOSE_BAY_AUTO,BRITISH_COLUMBIA,1025376,52058,49.27,-124.15,5
NANOOSE_BAY_SOUTH,BRITISH_COLUMBIA,1025377,195,49.25,-124.18,111
NANAIMO_CITY_YARD,BRITISH_COLUMBIA,10253G0,189,49.2,-123.99,114
NANAIMO_CHUB,BRITISH_COLUMBIA,10253P0,190,49.17,-123.93,21.3
OYSTER_RIVER_UBC,BRITISH_COLUMBIA,1025915,196,49.88,-125.13,10.7
PARKSVILLE,BRITISH_COLUMBIA,1025970,197,49.3,-124.3,82.3
PARKSVILLE_NORTHWEST,BRITISH_COLUMBIA,1025975,198,49.33,-124.33,30.5
PARKSVILLE_SOUTH,BRITISH_COLUMBIA,1025977,199,49.33,-124.3,0.9
NANAIMO_DEPARTURE_BAY,BRITISH_COLUMBIA,1025C70,184,49.22,-123.95,7.6
PINE_ISLAND,BRITISH_COLUMBIA,1026170,200,50.98,-127.73,28
PORT_HARDY,BRITISH_COLUMBIA,1026266,201,50.67,-127.48,3
PORT_HARDY_A,BRITISH_COLUMBIA,1026270,202,50.68,-127.37,21.6
PORT_HARDY_A,BRITISH_COLUMBIA,1026271,51319,50.68,-127.37,21.6
PORT_HARDY_BEAVER_HR,BRITISH_COLUMBIA,1026274,203,50.72,-127.43,4.6
PORT_MCNEILL,BRITISH_COLUMBIA,1026323,204,50.58,-127.08,91.4
QUADRA_ISLAND,BRITISH_COLUMBIA,1026560,205,50.18,-125.18,31.1
QUALICUM_BEACH_AIRPORT,BRITISH_COLUMBIA,1026562,45627,49.34,-124.39,58.2
QUALICUM_BEACH,BRITISH_COLUMBIA,1026563,206,49.33,-124.43,9.1
QUALICUM_BEACH_YAMBURY,BRITISH_COLUMBIA,1026564,207,49.35,-124.38,3
QUALICUM_R_FISH_RESEARCH,BRITISH_COLUMBIA,1026565,208,49.39,-124.62,7.6
QUINSAM_RIVER_HATCHERY,BRITISH_COLUMBIA,1026639,209,50.02,-125.3,45.7
SANDWICK,BRITISH_COLUMBIA,1027060,210,49.75,-125.05,45.7
SAVARY_ISLAND,BRITISH_COLUMBIA,1027110,211,49.93,-124.85,38
SAYWARD,BRITISH_COLUMBIA,1027112,212,50.37,-126,
SAYWARD_2,BRITISH_COLUMBIA,1027114,213,50.32,-125.93,16
SAYWARD_BIG_TREE_CREEK,BRITISH_COLUMBIA,1027115,214,50.23,-125.77,57
SISTERS_ISLAND,BRITISH_COLUMBIA,1027403,6813,49.49,-124.43,20
STRATHCONA_DAM,BRITISH_COLUMBIA,1027775,216,50,-125.58,201.2
STRATHCONA_PARK_LODGE,BRITISH_COLUMBIA,10277GN,215,49.88,-125.65,228.6
SURGE_NARROWS_READ_IS,BRITISH_COLUMBIA,1027870,217,50.22,-125.1,76.2
SURGE_NARROWS_RENDEZVOUS,BRITISH_COLUMBIA,1027871,218,50.28,-125.07,9.1
VANANDA,BRITISH_COLUMBIA,1028340,220,49.75,-124.58,12.2
UPPER_CAMPBELL_LAKE,BRITISH_COLUMBIA,1028L3M,219,49.9,-125.63,548.6
ENTRANCE_ISLAND,BRITISH_COLUMBIA,102BFHH,132,49.21,-123.81,7
NANAIMO_NORTH,BRITISH_COLUMBIA,102E3G0,134,49.22,-123.98,98
NANAIMO_RIVER_CAMP,BRITISH_COLUMBIA,102ECG0,133,49.08,-124.08,204.2
COURTENAY_MEADOWBROOK,BRITISH_COLUMBIA,102JR88,135,49.72,-124.98,35
STUART_CHANNEL_BOAT_HARBOUR,BRITISH_COLUMBIA,102PG75,136,49.09,-123.8,14
ALBERNI_BEAVER_CREEK,BRITISH_COLUMBIA,1030180,221,49.37,-124.93,91.4
ALBERNI_CITY_RESERVOIR,BRITISH_COLUMBIA,1030185,222,49.27,-124.78,64.6
ALBERNI_LUPSI_CUPSI,BRITISH_COLUMBIA,1030210,223,49.25,-124.82,9.1
ALBERNI_MCCOY_LAKE,BRITISH_COLUMBIA,1030220,224,49.28,-124.88,42.7
ALBERNI_ROBERTSON_CREEK,BRITISH_COLUMBIA,1030230,225,49.34,-124.98,73.75
AMPHITRITE_POINT,BRITISH_COLUMBIA,1030425,226,48.92,-125.53,10.7
AMPHITRITE_POINT,BRITISH_COLUMBIA,1030426,227,48.92,-125.54,26.5
ASH_RIVER,BRITISH_COLUMBIA,1030550,228,49.47,-125.08,304.8
ASH_RIVER_GENERATING_STN,BRITISH_COLUMBIA,1030552,229,49.37,-125.15,91.4
BAMFIELD,BRITISH_COLUMBIA,1030600,230,48.83,-125.1,21.3
