SRC_obs,SubId,Sub_Region,Obs_NM,POINT_X,POINT_Y
US,1000230,0001_0067,7374525,-89.97708333,29.855
US,1000436,0001_0067,7374000,-91.19625,30.445
US,1003183,0001_0067,7373900,-91.21291667,30.61916667
US,1000456,0001_0067,7373420,-91.39625,30.7575
US,1001994,0001_0067,7373500,-91.29375,30.9225
US,1000496,0001_0067,7295100,-91.62208333,31.00583333
US,1001499,0001_0067,7295000,-91.29541667,31.22666667
US,1001226,0001_0067,7292500,-91.10791667,31.325
US,1000398,0001_0067,7294500,-91.35958333,31.33166667
US,1002158,0001_0067,7291500,-90.85458333,31.44
US,1001687,0001_0067,7291000,-90.77791667,31.50416667
US,1000524,0001_0067,7290880,-91.41791667,31.56
US,1003391,0001_0067,7290870,-91.19208333,31.76666667
US,1000837,0001_0067,7290690,-90.84208333,31.89333333
US,1000868,0001_0067,7290500,-90.68875,32.0025
US,1000167,0001_0067,7290650,-90.87708333,32.0175
US,1003268,0001_0067,7289000,-90.90541667,32.31583333
US,1001082,0001_0067,7290000,-90.69791667,32.3475
US,1000957,0001_0067,7289730,-90.36375,32.60333333
US,1002505,0001_0067,7289500,-89.96458333,32.88
US,1002380,0001_0067,7289460,-89.89208333,32.95416667
US,1000193,0001_0067,7288700,-90.77791667,32.9725
US,1001006,0001_0067,7287404,-90.17291667,33.10166667
US,1002175,0001_0067,7287400,-90.05375,33.10583333
US,1000589,0001_0067,7287405,-90.19041667,33.11916667
US,1002067,0001_0067,7287355,-90.19541667,33.1375
US,1001663,0001_0067,7289350,-89.77125,33.19416667
US,1000159,0001_0067,7265455,-91.15958333,33.29333333
US,1002061,0001_0067,7287150,-90.15041667,33.34
US,1002075,0001_0067,7287160,-90.23041667,33.35
US,1001478,0001_0067,7287120,-90.27125,33.3975
US,1002802,0001_0067,7286500,-89.84375,33.52416667
US,1001154,0001_0067,7288500,-90.54291667,33.54666667
US,1000684,0001_0067,7281600,-90.21041667,33.65166667
US,1002692,0001_0067,7282075,-89.17875,33.75833333
US,1002285,0001_0067,7285400,-89.78708333,33.77416667
US,1002222,0001_0067,7285500,-89.80958333,33.78833333
US,1002221,0001_0067,7285510,-89.80041667,33.78916667
US,1002461,0001_0067,7284500,-89.77208333,33.81
US,1001968,0001_0067,7282100,-89.34625,33.815
US,1000536,0001_0067,7288280,-90.67208333,33.8325
US,1001564,0001_0067,7282000,-89.31541667,33.83833333
US,1001606,0001_0067,7281977,-89.27541667,33.83833333
US,1000633,0001_0067,7281000,-90.27625,33.86
US,1001799,0001_0067,7281960,-89.17291667,33.86583333
US,1001623,0001_0067,7285900,-89.99708333,33.9175
US,1002138,0001_0067,7286000,-90.07041667,33.92
US,1001963,0001_0067,7283000,-89.34791667,33.97416667
US,1002423,0001_0067,7280340,-89.97958333,33.97833333
US,1031566,0001_0053,7265280,-91.38458333,33.98
US,1002382,0001_0067,7280270,-89.95291667,33.99416667
US,1002097,0001_0067,7280400,-90.06625,33.99916667
US,1001763,0001_0067,7280460,-90.02458333,34.0575
US,1002725,0001_0067,7274252,-89.65208333,34.14416667
US,1001674,0001_0067,7275000,-89.90625,34.1575
US,1001026,0001_0067,7280000,-90.21458333,34.18083333
US,1002190,0001_0067,7288000,-90.57541667,34.1975
US,1002547,0001_0067,7275530,-89.98125,34.21416667
US,1001669,0001_0067,7275500,-89.93875,34.22833333
US,1000849,0001_0067,7279950,-90.26541667,34.25666667
US,1002761,0001_0067,7274000,-89.52125,34.27333333
US,1092326,0001_0039,3591800,-87.77375,34.28416667
US,1031824,0001_0053,7263650,-91.99625,34.28916667
US,1002134,0001_0067,7273550,-90.05458333,34.29583333
US,1093183,0001_0039,3573182,-86.11625,34.29833333
US,1093174,0001_0039,3573000,-86.18125,34.30166667
US,1002451,0001_0067,7273500,-89.96458333,34.33166667
US,1002639,0001_0067,7271500,-89.67708333,34.35416667
US,1002790,0001_0067,7271000,-89.65875,34.35666667
US,1002768,0001_0067,7273100,-89.87875,34.36416667
US,1091035,0001_0039,3576500,-86.93458333,34.37333333
US,1092987,0001_0039,3572900,-85.99041667,34.37916667
US,1002526,0001_0067,7273000,-89.88208333,34.38666667
US,1002952,0001_0067,7266000,-88.94708333,34.40333333
US,1001583,0001_0067,7272500,-89.79625,34.40833333
US,1090901,0001_0039,3576148,-86.68958333,34.415
US,1092619,0001_0039,3576810,-87.26958333,34.41583333
US,1002264,0001_0067,7279937,-90.23375,34.42
US,1002303,0001_0067,7279800,-90.25791667,34.43916667
US,1002701,0001_0067,7268500,-89.28958333,34.44166667
US,1092169,0001_0039,3592000,-88.11458333,34.44416667
US,1031509,0001_0053,7264500,-91.61625,34.45416667
US,1091041,0001_0039,3577000,-87.14125,34.47666667
US,1001907,0001_0067,7268000,-89.22458333,34.4825
US,1091328,0001_0039,3592300,-88.03541667,34.48833333
US,1002644,0001_0067,7270500,-89.41375,34.50166667
US,1110975,0001_0063,7077952,-90.84958333,34.505
US,1002562,0001_0067,7267000,-89.04958333,34.51916667
US,1111015,0001_0063,7078000,-91.35541667,34.53166667
US,1091098,0001_0039,3592200,-88.01875,34.54916667
US,1111027,0001_0063,7077950,-90.84541667,34.55583333
US,1003000,0001_0067,7265500,-88.92791667,34.55583333
US,1091248,0001_0039,3575500,-86.55958333,34.57083333
US,1002304,0001_0067,7279700,-90.22375,34.57583333
US,1003031,0001_0067,7270000,-89.33208333,34.59666667
US,1001770,0001_0067,7277730,-89.94125,34.6175
US,1002971,0001_0067,7277548,-89.82125,34.6175
US,1092509,0001_0039,3575700,-86.54041667,34.62416667
US,1090857,0001_0039,3574500,-86.30541667,34.62416667
US,1090933,0001_0039,3576000,-86.62958333,34.62583333
US,1001560,0001_0067,7277700,-89.92458333,34.63166667
US,1002102,0001_0067,7279500,-90.22958333,34.63333333
